city_codes,beds,baths,size,price
193,3,1.1,1181,275000
193,5,2,2084,280000
193,3,2,1502,270000
193,3,2,1285,289000
193,4,2,1836,305000
267,2,2.1,1389,256900
193,4,2,1334,299900
267,3,2,1190,263000
193,4,2,1400,249900
267,4,4,1150,263900
193,2,2,1043,265000
193,4,2,1617,253900
193,3,2,1589,280000
267,3,2,1182,280000
193,3,2,1246,274990
267,3,2,1190,275000
187,3,2,1008,259000
193,3,2,1240,279000
267,3,2,2000,285000
267,3,2,1083,279900
155,2,2,1173,300000
267,3,1,1064,259900
193,3,2,1365,284500
193,3,2,1317,289999
267,3,2,1422,285000
193,3,2,1534,285000
114,1,1.1,712,279000
193,3,2,1312,282990
267,3,2,1462,290000
155,1,1,632,304900
267,3,1,1285,259990
267,2,2,924,295000
193,3,2,1177,295000
193,4,2,1615,259900
199,3,1,1216,265000
267,2,1,672,269900
193,3,2,1515,298000
193,3,2,1440,265000
193,3,2,1706,299000
387,2,2,1079,300000
193,4,2,1485,279900
267,2,2,1020,265000
207,2,1,834,299999
193,3,2,1380,282999
267,2,2,1320,270000
330,1,1,622,285000
193,4,2,1728,269000
193,3,2,1431,279000
193,3,2,1440,269999
193,3,1,1225,249999
267,3,2,1384,305000
267,3,3,1473,289900
267,3,2,1322,247000
193,5,2,1400,270000
245,2,1,750,260500
193,2,2,1156,286000
133,2,1,826,270000
193,3,2,1376,295000
193,3,2,1064,249000
193,3,3,1623,289000
187,3,1,1066,249500
267,3,2,1190,283900
193,3,2,1397,289000
267,3,2,1519,275000
193,3,2,1296,245000
193,3,2.1,1483,289900
267,3,2,1346,255000
193,3,2,1540,279000
114,1,1,706,270000
193,5,3,2289,294999
187,3,2,1560,250000
199,3,2,1441,295000
193,3,2,1529,284990
193,3,2,1800,265000
193,4,2,1517,247000
267,4,2,1414,279999
267,3,2,1645,298500
193,3,2,1707,276900
193,3,2,1304,249900
267,3,2.1,1737,295000
193,3,2,1119,265000
188,3,4,1346,250000
267,2,2,937,254900
193,2,2,1052,299000
193,3,1,1212,250000
193,3,2,1304,269900
267,3,2,1557,285000
193,3,2,1620,270000
267,3,2,1521,279000
193,3,1,1476,300000
267,4,2,2119,299999
199,3,2,1134,290000
193,3,1,936,260000
267,3,1,998,275000
1,3,2,1440,249000
193,3,2,2022,249000
85,2,1,767,340000
193,3,2,1485,349900
267,4,3,1959,339900
267,4,2,1746,349000
193,3,2,1722,347000
267,3,2,1232,299990
207,2,1,660,325000
193,3,2,1537,299999
199,3,2,1448,312000
267,3,2,1132,310000
267,3,3,1780,340000
193,3,2,1552,334990
193,3,2,1541,330990
207,1,1,568,299000
290,2,1,752,315000
193,4,2,1671,349900
193,4,2,1274,298900
193,4,3,1956,324900
193,4,3,1905,299900
207,1,1,672,350000
207,2,1,620,350000
290,3,2,1344,299000
207,2,1,936,350000
149,3,1,720,349900
199,3,2,1485,315000
267,3,2,1218,345000
199,4,2,1771,319900
193,4,3,2476,319000
193,4,3,1852,329900
267,3,3,1535,339900
267,2,2,1499,335000
193,5,3,1974,335000
267,3,2.1,1718,335900
162,3,2,2289,315000
267,4,3,2262,315000
267,4,2,1983,328000
207,3,2,1181,350000
267,4,2,1860,334900
149,2,1.1,922,299900
290,3,2,906,325000
207,2,1,589,349900
199,3,2,1672,329000
267,4,2,1355,299999
295,3,1,945,304990
198,2,1,810,345000
295,5,3,2533,350000
193,3,3,1843,319990
193,4,3,2632,335000
290,2,1,572,325000
267,4,3,1692,339000
267,4,3,1690,349900
193,6,3,2925,325000
193,4,3,2315,315000
4,3,1,889,349000
199,4,2,1964,329990
267,3,2,1141,310000
193,4,3,2094,335000
193,3,2.1,2208,323500
322,3,1,836,339000
267,3,3,1544,314950
85,2,1,684,342000
193,4,3,2049,345000
267,4,3,1661,329999
