,Unnamed: 0,city_codes,beds,baths,size,price
711,711,267,3,2.0,1402,224900
712,712,193,3,1.0,1025,217000
713,713,188,3,2.0,1346,234900
714,714,193,4,36.0,1229,240000
715,715,193,3,2.0,1120,239000
716,716,267,4,2.0,1248,244900
717,717,365,3,2.0,1512,224950
718,718,193,3,1.0,1010,214900
719,719,193,3,2.0,1064,249000
720,720,187,3,1.0,1008,235500
721,721,187,3,1.0,1066,249500
722,722,267,3,2.0,1176,214000
723,723,193,2,1.0,720,219900
724,724,267,3,2.0,1108,230000
725,725,193,3,2.0,1296,245000
726,726,193,4,3.0,2722,199900
727,727,193,3,2.0,1488,243000
728,728,193,2,2.0,798,229900
729,729,267,3,2.0,1346,255000
730,730,193,2,2.0,1102,230000
731,731,193,4,1.1,1259,238900
732,732,333,2,1.0,756,199500
733,733,187,3,2.0,1560,250000
734,734,188,3,1.0,1000,215000
735,735,200,2,1.0,2250,199990
736,736,193,4,2.0,1517,247000
737,737,193,4,2.0,1248,230000
738,738,193,3,2.0,1304,249900
739,739,188,3,4.0,1346,250000
740,740,188,3,2.0,1762,235000
741,741,267,2,2.0,937,254900
742,742,193,3,1.0,1212,250000
743,743,193,1,1.0,416,195000
744,744,193,3,2.0,1269,210000
745,745,267,3,2.0,1134,231550
746,746,193,3,2.1,1567,235000
747,747,267,3,2.0,1400,242500
748,748,1,3,2.0,1440,249000
749,749,193,3,2.0,2022,249000
750,750,267,3,1.0,1285,259900
751,751,277,3,2.0,1473,278500
752,752,267,3,1.0,1062,255900
753,753,193,4,2.0,1178,249000
754,754,193,3,2.0,1157,255000
755,755,193,3,3.0,1458,280000
